Nutrient,Age-sex group (*: excludes pregnant or breastfeeding),N,Food group_level1,Food group_level2,Food group_level3,Amount,Amount_SE,L95%CI,U95%CI,Unit,Percentage,Percentage_SE,Interpretation_Notes,Food_Group_Level
Calcium,Population 1 an et +,186,Aliments pour bébés,,,1.7967365,0.5,0.8,2.8,mg,0.219986916,0.1,E,1
Calcium,Population 1 an et +,154,Aliments pour bébés,Produits alimentaires pour bébés,,1.3970341,0.5,0.4,2.4,mg,0.171048577,0.1,F,2
Calcium,Population 1 an et +,51,Aliments pour bébés,Préparation pour nourrissons,,0.3997024,0.1,0.2,0.6,mg,0.048938339,0,E,2
Calcium,Population 1 an et +,19574,Boissons (excluant laits),,,58.2894058,1,56.3,60.3,mg,7.136776254,0.1,,1
Calcium,Population 1 an et +,3540,Boissons (excluant laits),Alcool,,5.5799369,0.2,5.1,6.1,mg,0.683190379,0,,2
Calcium,Population 1 an et +,12127,Boissons (excluant laits),Café et thé,,6.5235238,0.2,6.1,6.9,mg,0.798720263,0,,2
Calcium,Population 1 an et +,9217,Boissons (excluant laits),Café et thé,Café,5.6837569,0.2,5.3,6,mg,0.695901776,0,,3
Calcium,Population 1 an et +,5357,Boissons (excluant laits),Café et thé,Thé,0.8397669,0.1,0.7,1,mg,0.102818487,0,,3
Calcium,Population 1 an et +,103,Boissons (excluant laits),Boissons énergisantes,,0.0944921,0,0.1,0.1,mg,0.011569319,0,E,2
Calcium,Population 1 an et +,2096,Boissons (excluant laits),Boissons aux fruits,,2.2304082,0.2,1.8,2.6,mg,0.27308435,0,,2
Calcium,Population 1 an et +,6617,Boissons (excluant laits),Jus de fruit,,13.2493813,0.7,11.9,14.6,mg,1.622213653,0.1,,2
Calcium,Population 1 an et +,541,Boissons (excluant laits),Autres boissons,,1.3215946,0.2,0.9,1.7,mg,0.161811988,0,,2
Calcium,Population 1 an et +,4394,Boissons (excluant laits),Boissons gazeuses,,2.8187284,0.1,2.6,3,mg,0.345116467,0,,2
Calcium,Population 1 an et +,320,Boissons (excluant laits),Boissons pour sportifs,,0.0677426,0,0,0.1,mg,0.008294199,0,E,2
Calcium,Population 1 an et +,454,Boissons (excluant laits),Jus de tomates et de légumes,,0.8179607,0.1,0.6,1,mg,0.100148599,0,,2
Calcium,Population 1 an et +,82,Boissons (excluant laits),Eau vitaminée,,0.0867031,0,0,0.1,mg,0.010615661,0,E,2
Calcium,Population 1 an et +,18272,Boissons (excluant laits),Eau,,25.4989342,0.7,24.2,26.8,mg,3.122011375,0.1,,2
Calcium,Population 1 an et +,18629,Produits laitiers et Boissons à base de plantes,,,453.2369729,6.6,440.3,466.1,mg,55.49294628,0.4,,1
Calcium,Population 1 an et +,11627,Produits laitiers et Boissons à base de plantes,Fromages,,172.7296133,4.2,164.6,180.9,mg,21.14848462,0.4,,2
Calcium,Population 1 an et +,17005,Produits laitiers et Boissons à base de plantes,Laits et boissons à base de plantes,,246.2749017,4.1,238.2,254.3,mg,30.1531444,0.4,,2
Calcium,Population 1 an et +,6481,Produits laitiers et Boissons à base de plantes,Laits et boissons à base de plantes,Lait 1%,54.8381665,2.1,50.7,58.9,mg,6.714217085,0.2,,3
Calcium,Population 1 an et +,12441,Produits laitiers et Boissons à base de plantes,Laits et boissons à base de plantes,Lait 2%,115.9444176,2.6,110.8,121.1,mg,14.19587924,0.3,,3
Calcium,Population 1 an et +,4411,Produits laitiers et Boissons à base de plantes,Laits et boissons à base de plantes,Crème et autres types de lait,9.9804134,0.6,8.9,11.1,mg,1.221971236,0.1,,3
Calcium,Population 1 an et +,814,Produits laitiers et Boissons à base de plantes,Laits et boissons à base de plantes,Boissons à base de plantes,11.8262882,1,9.9,13.8,mg,1.447974497,0.1,,3
Calcium,Population 1 an et +,6026,Produits laitiers et Boissons à base de plantes,Laits et boissons à base de plantes,Lait écrémé,19.5315999,1.1,17.4,21.6,mg,2.39138925,0.1,,3
Calcium,Population 1 an et +,5835,Produits laitiers et Boissons à base de plantes,Laits et boissons à base de plantes,Lait entier,34.1540161,2.1,30.1,38.2,mg,4.181713083,0.2,,3
Calcium,Population 1 an et +,4392,Produits laitiers et Boissons à base de plantes,Yogourts,,34.2324579,1.3,31.6,36.8,mg,4.191317265,0.2,,2
Calcium,Population 1 an et +,18258,Graisses et huiles,,,2.5415422,0.1,2.4,2.7,mg,0.311178639,0,,1
Calcium,Population 1 an et +,944,Graisses et huiles,Graisses animales,,0.0095196,0,0,0,mg,0.001165553,0,E,2
Calcium,Population 1 an et +,5492,Graisses et huiles,Beurre,,0.7325836,0,0.7,0.8,mg,0.089695295,0,,2
Calcium,Population 1 an et +,10649,Graisses et huiles,Margarines,,0.5532743,0,0.5,0.6,mg,0.067741205,0,,2
Calcium,Population 1 an et +,6743,Graisses et huiles,Sauces pour salade,,1.2263245,0,1.1,1.3,mg,0.150147415,0,,2
Calcium,Population 1 an et +,7605,Graisses et huiles,Shortening,,0.0023234,0,0,0,mg,0.000284474,0,,2
Calcium,Population 1 an et +,10208,Graisses et huiles,Huiles végétales,,0.0175168,0,0,0,mg,0.002144698,0,,2
Calcium,Population 1 an et +,3197,Poissons et fruits de mer,,,7.9573796,0.5,7,8.9,mg,0.974277177,0.1,,1
Calcium,Population 1 an et +,2522,Poissons et fruits de mer,Poissons,,5.818119,0.5,4.9,6.7,mg,0.71235267,0.1,,2
Calcium,Population 1 an et +,924,Poissons et fruits de mer,Mollusques et crustacés,,2.1392606,0.2,1.8,2.5,mg,0.261924507,0,,2
Calcium,Population 1 an et +,18914,Fruits et légumes,,,66.403436,1.1,64.3,68.5,mg,8.130233255,0.1,,1
