Nutrient,Age-sex group (*: excludes pregnant or breastfeeding),N,Food group_level1,Food group_level2,Food group_level3,Amount,Amount_SE,L95%CI,U95%CI,Unit,Percentage,Percentage_SE,Interpretation_Notes,Food_Group_Level
Calcium,Population age 1+,186,Baby Foods,,,1.796736533,0.520911792,0.773290801,2.820182264,mg,0.219986916,0.063646164,E,1
Calcium,Population age 1+,154,Baby Foods,Baby Foods Products,,1.397034116,0.492518285,0.429373672,2.364694561,mg,0.171048577,0.06012855,F,2
Calcium,Population age 1+,51,Baby Foods,Infant Formula,,0.399702416,0.117906416,0.168049341,0.631355491,mg,0.048938339,0.014440881,E,2
Calcium,Population age 1+,19574,Beverages (Excluding Milks),,,58.28940581,1.025923056,56.27375443,60.30505719,mg,7.136776254,0.129663456,,1
Calcium,Population age 1+,3540,Beverages (Excluding Milks),Alcohol,,5.579936911,0.245459218,5.097678317,6.062195505,mg,0.683190379,0.030220694,,2
Calcium,Population age 1+,12127,Beverages (Excluding Milks),Coffee & Tea,,6.523523768,0.19113282,6.148001325,6.89904621,mg,0.798720263,0.024226296,,2
Calcium,Population age 1+,9217,Beverages (Excluding Milks),Coffee & Tea,Coffee,5.683756862,0.178472656,5.333108094,6.03440563,mg,0.695901776,0.022403141,,3
Calcium,Population age 1+,5357,Beverages (Excluding Milks),Coffee & Tea,Tea,0.839766906,0.070732738,0.700796891,0.97873692,mg,0.102818487,0.008724242,,3
Calcium,Population age 1+,103,Beverages (Excluding Milks),Energy Drinks,,0.094492068,0.017408434,0.060289373,0.128694763,mg,0.011569319,0.002116743,,2
Calcium,Population age 1+,2096,Beverages (Excluding Milks),Fruit Drinks,,2.23040823,0.212913432,1.812092987,2.648723474,mg,0.27308435,0.026066418,,2
Calcium,Population age 1+,6617,Beverages (Excluding Milks),Fruit Juice,,13.24938131,0.679142737,11.91505611,14.58370652,mg,1.622213653,0.083546217,,2
Calcium,Population age 1+,541,Beverages (Excluding Milks),Other Beverages,,1.321594556,0.197493317,0.933575518,1.709613593,mg,0.161811988,0.023923624,,2
Calcium,Population age 1+,4394,Beverages (Excluding Milks),Soft Drinks,,2.818728383,0.103443583,2.615490723,3.021966042,mg,0.345116467,0.012559755,,2
