Food Group Name_Level 1,Food Group Name_Level 2,Food Group Name_Level 3,Description of the Contents of the Food Groups and Sub-groups
Aliments pour bébés,,,"Aliments commerciaux pour bébés, céréales et collations pour enfants et nourrissons et préparations pour nourrissons"
,Produits alimentaires pour bébés,,"Aliments commerciaux pour bébés (fruits, légumes, viandes, desserts, jus et mets composés), biscuits de dentition, céréales sèches pour nourrissons, céréales et collations pour enfants et autres produits de boulangerie-pâtisserie pour nourrissons"
,Préparation pour nourrissons,,"Préparation pour nourrissons, tous les types"
Boissons (excluant laits),,,"Alcool, café, thé, boissons énergisantes, boissons aux fruits, jus de fruits, boissons gazeuses, boissons pour sportifs, jus de tomates et de légumes, eau vitaminée, eau et autres boissons"
,Alcool,,"Vin, bière, spiritueux (whisky, vodka, rhum), liqueurs (café, crème, crème de menthe), panachés et boissons énergisantes avec de l’alcool. Les cocktails sont décomposés en leurs ingrédients. "
,Café et thé,,"Café et thé, infusé et instantané"
,,Café,"Café infusé, café instantané et succédané de café (grain céréalier)"
,,Thé,"Thé infusé, thé instantané et thé glacé"
,Boissons énergisantes,,"Boissons énergisantes et « doses énergisantes », sans sucre et ordinaire. Ne comprends pas les boissons énergisantes avec de l’alcool (voir Alcool)."
,Boissons aux fruits,,"Boisson au jus, cocktail de jus de fruits, cocktail aux canneberges et limonade. Comprends les concentrés congelés, en poudre et les prêts-à-boire. Ne comprends pas l’eau aromatisée aux fruits (voir Eau)."
,Jus de fruit,,"Jus pur seulement, frais, prêt-à-boire et provenant de concentré congelé, comprend les nectars"
,Boissons gazeuses,,"Boisson gazeuse (ordinaire et diète), soda tonique, soda"
,Boissons pour sportifs,,Boissons pour sportifs ordinaires et à faible teneur en calories
,Jus de tomates et de légumes,,"Jus de tomates, jus de légumes et jus de carottes"
,Eau vitaminée,,Eau vitaminée ordinaire et à faible teneur en calories
,Eau,,"Eau de ville, eau de puits, eau embouteillée (nature et aromatisée aux fruits) et eau gazeuse"
,Autres boissons,,"Eau de coco, laits frappés, smoothies et chocolat chaud, lait malté et préparations pour boissons aromatisées au chocolat."
Produits laitiers et Boissons à base de plantes,,,"Laits, boissons à base de plante, fromages et yogourts"
,Fromages,,"Tous les types de fromages, p. ex. fromage cottage, fromage fondu, fromage à la crème, ricotta, mozzarella, brie, parmesan"
,Laits et boissons à base de plantes,,"Lait, crème et boissons à base de plante et yogourts"
,,Lait 1%,Lait 1 % M.G. et lait au chocolat prêt-à-boire
,,Lait 2%,"Lait 2 % M.G. et lait au chocolat prêt-à-boire, comprends le lait en poudre et le lait évaporé "
,,Lait écrémé,"Lait écrémé et lait au chocolat prêt-à-boire, comprends le lait en poudre et le lait évaporé "
,,Lait entier,"Lait entier et lait au chocolat prêt-à-boire, comprends le lait en poudre "
,,Boissons à base de plantes,"Boissons aux amandes, au soja, au riz, à la noix de coco et aux noix de cajou, toutes les saveurs, ordinaires et sucrées"
,,Crème et autres types de lait,"Lait concentré sucré, lait de poule, babeurre, petit-lait, lait de chèvre et lait de brebis, crème à fouetter, crème de table, demi-crème, crème sure et succédané de crème en poudre. Lait humain exclu des analyses."
,,Lait aromatisé,Lait au chocolat
,,Lait nature,"Lait de tous les % de M.G., comprends le lait en poudre et le lait évaporé"
,Yogourts,,"Tous les types de yogourt (p. ex. nature, aromatisé, à boire, grec, sans matières grasses). Ne comprends pas le yogourt glacé (voir Produits laitiers glacés et analogues)."
,,Yogourt aromatisé,Tous les yogourts aromatisés de tous les % de M.G. Ne comprends pas le yogourt glacé. Ne comprends pas le yogourt glacé (voir Produits laitiers glacés et analogues).
,,Yogourt nature,Tous les yogourts nature de tous les % de M.G.
Graisses et huiles,,,"Graisses animales, beurre, margarines, sauces pour salade, shortening et huiles végétales"
,Graisses animales,,"Graisse animale de bœuf, de porc, de volaille et suif"
,Beurre,,"Tous les types de beurres, y compris le beurre léger, salé et non salé"
,Margarines,,Tous les types de margarines
,Sauces pour salade,,"Mayonnaise et sauces de type mayonnaise, sauces à salade et vinaigrettes à base d’huile et de vinaigre et sauces crémeuses pour salade. Comprends les versions allégées, à faible teneur en calorie et sans gras."
,Shortening,,Tous les types de shortenings
,Huiles végétales,,Tous les types d’huiles végétales et d’aérosols de cuisson à base d’huile
Poissons et fruits de mer,,,"Poissons et mollusques, frais, en conserve ou fumés, y compris les produits panés et frits"
,Poissons,,"Tous les types de poisson, frais, en conserve ou fumés, y compris le poisson pané et frit et les bâtonnets de poisson "
,Mollusques et crustacés,,"Tous les types de mollusques, frais et en conserve, y compris les mollusques panés et frits et les simili-fruits de mer   "
Fruits et légumes,,,"Fruits et légumes, frais, en conserve, congelés et séchés "
,Fruits,,"Fruits frais, en conserve, congelés et séchés"
,,Pomme,"Pommes fraîches et séchées, compotes de pommes sucrées et non sucrées, pommettes.  Ne comprends pas les jus (voir Jus de fruit)."
,,Banane,Bananes fraîches et déshydratées
,,Baies,"Baies fraîches, en conserve et congelées (p. ex. fraises, bleuets, framboises, mûres, baies de Saskatoon)"
,,Cerises,"Cerises fraîches, en conserve ou congelées. Comprends la garniture de tarte et les cerises au marasquin. "
,,Agrumes,"Tous les types d’agrumes frais et en conserve, y compris l’écorce d’agrumes. Ne comprends pas les jus (voir Jus de fruit)."
,,Raisins et raisins secs,Raisins et raisins secs. Ne comprends pas les jus (voir Jus de fruit).
,,Melons,"Tous les types de melons (p. ex. melon d’eau, cantaloup, melon miel) frais et congelés"
,,Pêches et nectarines,"Pêches et nectarines fraîches, en conserve, séchées et congelées"
,,Poires,Poires fraîches et en conserve
,,Ananas,"Ananas frais, en conserve et séché"
,,Prunes et pruneaux,"Prunes et pruneaux frais, en conserve et séchés. Ne comprends pas les jus (voir Jus de fruit)."
,,Autres fruits,"Tous les autres fruits frais, en conserve, séchés et congelés qui ne sont pas inclus dans les autres catégories de fruits (p. ex. kiwi, grenade, datte, papaye, abricot, cocktail aux fruits). Ne comprends pas les jus (voir Jus de fruit)."
,Légumes incluant pommes de terre (tous les nutriments excluant sodium),,"Légumes frais, en conserve et congelés "
,,Légumes vert foncé,"Légumes vert foncé frais, en conserve et congelés, y compris les légumes-feuilles (p. ex. brocoli, poivron vert, asperge, petit pois, pak-choï, chou frisé, romaine et roquette)"
