Food Group Name_Level 1,Food Group Name_Level 2,Food Group Name_Level 3,Description of the Contents of the Food Groups and Sub-groups
Baby Foods,,,"Commercial baby foods, infant and toddler cereals and snacks and infant formulas"
,Baby Food Products,,"Commercial baby foods, teething biscuits, dry infant cereals and toddler cereals and snacks"
,Infant Formula,,"Infant formulas, all types"
Beverages (Excluding Milks),,,"Alcohol, coffee, tea, energy drinks, fruit juice and drinks, soft drinks, sport drinks, vegetable juice, and water"
,Alcohol,,"Wine, beer, spirits, liqueurs and coolers. Cocktails are broken down to ingredient level. "
,Coffee & Tea,,Brewed and instant coffee and tea
,,Coffee,"Brewed coffee, instant coffee and coffee substitute"
,,Tea,"Brewed tea, instant tea and iced tea"
,Energy Drinks,,"Energy drinks and energy drink shots, sugar free and regular."
,Fruit Drinks,,"Juice drinks, fruit punches, cranberry cocktail and lemonade."
,Fruit Juice,,"Pure juice only, fresh, ready to drink and from frozen concentrate, includes nectars"
,Other Beverages,,"Coconut water, milk shakes, smoothies, hot chocolate and chocolate flavored beverages mixes"
,Soft Drinks,,"Soft drink (regular and diet), tonic water, club soda"
,Sport Drinks,,Sport drinks regular and low calorie
,Tomato and Vegetable Juice,,"Tomato juice, vegetable juice and carrot juice"
,Vitamin Water,,Vitamin water regular and low calorie
,Waters,,"Municipal, well, bottled (plain and fruit flavored) and sparkling water"
Dairy & Plant-Based Beverages,,,"Milks, plant-based beverages, cheese and yogurts. "
,Cheeses (all nutrients),,All type of cheeses
,Milks & Plant-Based Beverages (all nutrients excluding total sugars and carbohydrates),,"Milk, cream and plant-based beverages. Human milk excluded from the analysis"
,,1% Milk,1% M.F milk and ready-to drink chocolate milk
,,2% Milk,"2% M.F milk and ready-to drink chocolate milk, includes dry and evaporated milk "
,,Skim Milk,"Skim milk and  ready-to drink chocolate milk, includes dry and evaporated milk "
,,Whole Milk,"Whole milk and ready-to drink chocolate milk, includes dry milk "
,,Cream & Other Types of Milk,"All types of creams, sour cream, goat and sheep milk, sweetened condensed milk, buttermilk, and powdered cream substitute. "
,,Plant-Based Beverages,"Almond, soy,  rice, coconut and cashew  beverages, all flavours regular and sweetened"
,Milks & Plant-Based Beverages (total sugars and carbohydrates only),,"Milk, cream and plant-based beverages. Human milk excluded from the analysis"
,,Plain Milk,"All % M.F milk, includes dry and evaporated milk"
,,Flavoured Milk,Chocolate milk
,Yogurts (all nutrients),,"All types of yogurts (e.g. plain, flavored, drinkable, Greek, fat free) "
,,Plain Yogurt (total sugars and carbohydrates only),All % M.F. plain yogurt. 
,,Flavoured Yogurt (total sugars and carbohydrates only),All % M.F. flavoured yogurt.
Fats & Oils,,,"Animal fats, butter, margarines, salad dressings, shortening and vegetable oils"
,Animal Fats,,"Animal fat from beef, pork, poultry, meat drippings, suet"
,Butter,,"All types of butters includes light, salted and unsalted"
