Nutrient,Age-sex group (*: excludes pregnant or breastfeeding),N,Food group_level1,Food group_level2,Food group_level3,Amount,Amount_SE,L95%CI,U95%CI,Unit,Percentage,Percentage_SE,Interpretation_Notes,Food_Group_Level
Calcium,Population age 1+,186,Baby Foods,,,1.8,0.5,0.8,2.8,mg,0.2,0.1,E,1
Calcium,Population age 1+,154,Baby Foods,Baby Foods Products,,,,,,mg,,,F,2
Calcium,Population age 1+,51,Baby Foods,Infant Formula,,0.4,0.1,0.2,0.6,mg,0.0,0.0,E,2
Calcium,Population age 1+,19574,Beverages (Excluding Milks),,,58.3,1.0,56.3,60.3,mg,7.1,0.1,,1
Calcium,Population age 1+,3540,Beverages (Excluding Milks),Alcohol,,5.6,0.2,5.1,6.1,mg,0.7,0.0,,2
Calcium,Population age 1+,12127,Beverages (Excluding Milks),Coffee & Tea,,6.5,0.2,6.1,6.9,mg,0.8,0.0,,2
Calcium,Population age 1+,103,Beverages (Excluding Milks),Energy Drinks,,0.1,0.0,0.1,0.1,mg,0.0,0.0,,2
Calcium,Population age 1+,2096,Beverages (Excluding Milks),Fruit Drinks,,2.2,0.2,1.8,2.6,mg,0.3,0.0,,2
Calcium,Population age 1+,6617,Beverages (Excluding Milks),Fruit Juice,,13.2,0.7,11.9,14.6,mg,1.6,0.1,,2
Calcium,Population age 1+,541,Beverages (Excluding Milks),Other Beverages,,1.3,0.2,0.9,1.7,mg,0.2,0.0,,2
Calcium,Population age 1+,4394,Beverages (Excluding Milks),Soft Drinks,,2.8,0.1,2.6,3.0,mg,0.3,0.0,,2
Calcium,Population age 1+,320,Beverages (Excluding Milks),Sport Drinks,,0.1,0.0,0.0,0.1,mg,0.0,0.0,,2
Calcium,Population age 1+,454,Beverages (Excluding Milks),Tomato & Vegetable Juice,,0.8,0.1,0.6,1.0,mg,0.1,0.0,,2
Calcium,Population age 1+,82,Beverages (Excluding Milks),Vitamin Water,,0.1,0.0,0.0,0.1,mg,0.0,0.0,,2
Calcium,Population age 1+,18272,Beverages (Excluding Milks),Water,,25.5,0.7,24.2,26.8,mg,3.1,0.1,,2
Calcium,Population age 1+,9217,Beverages (Excluding Milks),Coffee & Tea,Coffee,5.7,0.2,5.3,6.0,mg,0.7,0.0,,3
Calcium,Population age 1+,5357,Beverages (Excluding Milks),Coffee & Tea,Tea,0.8,0.1,0.7,1.0,mg,0.1,0.0,,3
Calcium,Population age 1+,18629,Dairy & Plant-Based Beverages,,,453.2,6.6,440.3,466.1,mg,55.5,0.4,,1
Calcium,Population age 1+,11627,Dairy & Plant-Based Beverages,Cheeses,,172.7,4.2,164.6,180.9,mg,21.1,0.4,,2
Calcium,Population age 1+,17005,Dairy & Plant-Based Beverages,Milks & Plant-Based Beverages,,246.3,4.1,238.2,254.3,mg,30.2,0.4,,2
Calcium,Population age 1+,4392,Dairy & Plant-Based Beverages,Yogurts,,34.2,1.3,31.6,36.8,mg,4.2,0.2,,2
Calcium,Population age 1+,12441,Dairy & Plant-Based Beverages,Milks & Plant-Based Beverages,2% Milk,115.9,2.6,110.8,121.1,mg,14.2,0.3,,3
Calcium,Population age 1+,6481,Dairy & Plant-Based Beverages,Milks & Plant-Based Beverages,1% Milk,54.8,2.1,50.7,58.9,mg,6.7,0.2,,3
Calcium,Population age 1+,5835,Dairy & Plant-Based Beverages,Milks & Plant-Based Beverages,Whole Milk,34.2,2.1,30.1,38.2,mg,4.2,0.2,,3
Calcium,Population age 1+,6026,Dairy & Plant-Based Beverages,Milks & Plant-Based Beverages,Skim Milk,19.5,1.1,17.4,21.6,mg,2.4,0.1,,3
Calcium,Population age 1+,814,Dairy & Plant-Based Beverages,Milks & Plant-Based Beverages,Plant-Based Beverages,11.8,1.0,9.9,13.8,mg,1.4,0.1,,3
Calcium,Population age 1+,4411,Dairy & Plant-Based Beverages,Milks & Plant-Based Beverages,Cream & Other Types of Milk,10.0,0.6,8.9,11.1,mg,1.2,0.1,,3
Calcium,Population age 1+,18258,Fats & Oils,,,2.5,0.1,2.4,2.7,mg,0.3,0.0,,1
Calcium,Population age 1+,944,Fats & Oils,Animal Fats,,0.0,0.0,0.0,0.0,mg,0.0,0.0,,2
Calcium,Population age 1+,5492,Fats & Oils,Butter,,0.7,0.0,0.7,0.8,mg,0.1,0.0,,2
Calcium,Population age 1+,10649,Fats & Oils,Margarines,,0.6,0.0,0.5,0.6,mg,0.1,0.0,,2
Calcium,Population age 1+,6743,Fats & Oils,Salad Dressings,,1.2,0.0,1.1,1.3,mg,0.2,0.0,,2
